Factor,Time ,Month ,Plot,Diversity ,Nutrients,Sediment,Treatment ,Cyano,Green Algae,Diatoms
3.B_N1_S1_5,3,November'15 ,M,B,N1,S1,B_N1_S1,0.146666667,0,0.126666667
3.C_N0_S0_1,3,November'15 ,2,C,N0,S0,C_N0_S0,0.176666667,0.053333333,0.503333333
3.C_N0_S0_2,3,November'15 ,3,C,N0,S0,C_N0_S0,0.276666667,0,0.213333333
3.C_N0_S0_3,3,November'15 ,15,C,N0,S0,C_N0_S0,0.013333333,0.04,0.033333333
3.C_N0_S0_4,3,November'15 ,33,C,N0,S0,C_N0_S0,0.31,0,0.343333333
3.C_N0_S0_5,3,November'15 ,59,C,N0,S0,C_N0_S0,0.206666667,0.04,0.476666667
3.C_N0_S1_1,3,November'15 ,37,C,N0,S1,C_N0_S1,0.11,1.456666667,0.303333333
3.C_N0_S1_2,3,November'15 ,46,C,N0,S1,C_N0_S1,0.19,0.653333333,0.506666667
3.C_N0_S1_3,3,November'15 ,60,C,N0,S1,C_N0_S1,0.176666667,0.56,0.36
3.C_N0_S1_4,3,November'15 ,A,C,N0,S1,C_N0_S1,0.316666667,0.236666667,0.926666667
3.C_N0_S1_5,3,November'15 ,D,C,N0,S1,C_N0_S1,0.15,1.716666667,0.316666667
3.C_N1_S0_1,3,November'15 ,8,C,N1,S0,C_N1_S0,0.086666667,0,0.166666667
3.C_N1_S0_2,3,November'15 ,27,C,N1,S0,C_N1_S0,0.226666667,0,0.266666667
3.C_N1_S0_3,3,November'15 ,42,C,N1,S0,C_N1_S0,0.176666667,0.116666667,0.483333333
3.C_N1_S0_4,3,November'15 ,63,C,N1,S0,C_N1_S0,1.176666667,0.88,5.023333333
3.C_N1_S0_5,3,November'15 ,G,C,N1,S0,C_N1_S0,0.686666667,0,0.453333333
3.C_N1_S1_1,3,November'15 ,10,C,N1,S1,C_N1_S1,0.173333333,0,0.16
3.C_N1_S1_2,3,November'15 ,26,C,N1,S1,C_N1_S1,0.093333333,0.08,0.096666667
3.C_N1_S1_3,3,November'15 ,28,C,N1,S1,C_N1_S1,0.263333333,1.476666667,1.013333333
3.C_N1_S1_4,3,November'15 ,70,C,N1,S1,C_N1_S1,0.066666667,0.14,0.153333333
3.C_N1_S1_5,3,November'15 ,L,C,N1,S1,C_N1_S1,0.09,0.003333333,0.17
3.D_N0_S0_1,3,November'15 ,21,D,N0,S0,D_N0_S0,0.13,0,0.12
3.D_N0_S0_2,3,November'15 ,41,D,N0,S0,D_N0_S0,0.216666667,0,0.313333333
3.D_N0_S0_3,3,November'15 ,52,D,N0,S0,D_N0_S0,0.163333333,0.703333333,0.54
3.D_N0_S0_4,3,November'15 ,58,D,N0,S0,D_N0_S0,0.4,0,0.31
3.D_N0_S0_5,3,November'15 ,68,D,N0,S0,D_N0_S0,0.243333333,0,0.24
3.D_N0_S1_1,3,November'15 ,35,D,N0,S1,D_N0_S1,0.423333333,0,0.396666667
3.D_N0_S1_2,3,November'15 ,38,D,N0,S1,D_N0_S1,0.243333333,1.256666667,0.54
3.D_N0_S1_3,3,November'15 ,54,D,N0,S1,D_N0_S1,0.393333333,0,0.236666667
3.D_N0_S1_4,3,November'15 ,62,D,N0,S1,D_N0_S1,0.346666667,0,0.22
3.D_N0_S1_5,3,November'15 ,72,D,N0,S1,D_N0_S1,0.096666667,0.123333333,0.206666667
3.D_N1_S0_1,3,November'15 ,48,D,N1,S0,D_N1_S0,0.25,0,0.22
3.D_N1_S0_2,3,November'15 ,56,D,N1,S0,D_N1_S0,0.72,0,0.583333333
3.D_N1_S0_3,3,November'15 ,64,D,N1,S0,D_N1_S0,0.8,0,0.84
3.D_N1_S0_4,3,November'15 ,86,D,N1,S0,D_N1_S0,0.256666667,2.683333333,0.926666667
3.D_N1_S0_5,3,November'15 ,24*,D,N1,S0,D_N1_S0,0.163333333,0,0.236666667
3.D_N1_S1_1,3,November'15 ,9,D,N1,S1,D_N1_S1,0.07,0.566666667,0.126666667
3.D_N1_S1_2,3,November'15 ,29,D,N1,S1,D_N1_S1,0.153333333,0,0.193333333
3.D_N1_S1_3,3,November'15 ,57,D,N1,S1,D_N1_S1,0.283333333,0.693333333,0.603333333
3.D_N1_S1_4,3,November'15 ,66,D,N1,S1,D_N1_S1,0.36,0.063333333,0.883333333
3.D_N1_S1_5,3,November'15 ,99,D,N1,S1,D_N1_S1,0.393333333,0,0.683333333
4.A_N0_S0_1,4,December'15,6,A,N0,S0,A_N0_S0,0.323333333,0,0.71
4.A_N0_S0_2,4,December'15,7,A,N0,S0,A_N0_S0,0.153333333,2.593333333,0.783333333
4.A_N0_S0_3,4,December'15,32,A,N0,S0,A_N0_S0,0.29,0.286666667,0.596666667
4.A_N0_S0_4,4,December'15,50,A,N0,S0,A_N0_S0,0.103333333,1.08,0.303333333
4.A_N0_S0_5,4,December'15,53,A,N0,S0,A_N0_S0,1.11,0.03,6.196666667
4.A_N0_S1_1,4,December'15,16,A,N0,S1,A_N0_S1,0.066666667,0.256666667,0.133333333
4.A_N0_S1_2,4,December'15,19,A,N0,S1,A_N0_S1,0.196666667,0.19,0.456666667
4.A_N0_S1_3,4,December'15,20,A,N0,S1,A_N0_S1,0.11,0,0.173333333
4.A_N0_S1_4,4,December'15,36,A,N0,S1,A_N0_S1,0.43,3.923333333,2.87
4.A_N0_S1_5,4,December'15,40,A,N0,S1,A_N0_S1,0.253333333,0.39,0.743333333
4.A_N1_S0_1,4,December'15,14,A,N1,S0,A_N1_S0,0.08,3.253333333,0.55
4.A_N1_S0_2,4,December'15,23,A,N1,S0,A_N1_S0,0.216666667,4.236666667,1.163333333
4.A_N1_S0_3,4,December'15,69,A,N1,S0,A_N1_S0,0.43,0.056666667,2.26
4.A_N1_S0_4,4,December'15,I,A,N1,S0,A_N1_S0,0.786666667,0,5.466666667
4.A_N1_S0_5,4,December'15,K,A,N1,S0,A_N1_S0,0.063333333,0.243333333,0.15
4.A_N1_S1_1,4,December'15,30,A,N1,S1,A_N1_S1,0.083333333,0.746666667,0.213333333
4.A_N1_S1_2,4,December'15,47,A,N1,S1,A_N1_S1,0.27,1.266666667,4.546666667
4.A_N1_S1_3,4,December'15,B,A,N1,S1,A_N1_S1,0.703333333,0,1.053333333
4.A_N1_S1_4,4,December'15,F,A,N1,S1,A_N1_S1,1.866666667,0,4.763333333
4.A_N1_S1_5,4,December'15,N,A,N1,S1,A_N1_S1,0.573333333,0,0.973333333
4.B_N0_S0_1,4,December'15,1,B,N0,S0,B_N0_S0,0.12,0.326666667,0.286666667
4.B_N0_S0_2,4,December'15,4,B,N0,S0,B_N0_S0,0.09,0.02,0.216666667
4.B_N0_S0_3,4,December'15,31,B,N0,S0,B_N0_S0,0.02,0.123333333,0.003333333
4.B_N0_S0_4,4,December'15,34,B,N0,S0,B_N0_S0,0.15,0,0.296666667
4.B_N0_S0_5,4,December'15,E,B,N0,S0,B_N0_S0,0.22,0.186666667,0.453333333
4.B_N0_S1_1,4,December'15,17,B,N0,S1,B_N0_S1,0.24,0.103333333,0.483333333
4.B_N0_S1_2,4,December'15,18,B,N0,S1,B_N0_S1,0.35,0,0.313333333
4.B_N0_S1_3,4,December'15,49,B,N0,S1,B_N0_S1,0.063333333,0.773333333,0.156666667
4.B_N0_S1_4,4,December'15,65,B,N0,S1,B_N0_S1,0.143333333,0,0.273333333
4.B_N0_S1_5,4,December'15,H,B,N0,S1,B_N0_S1,0.35,0,0.646666667
4.B_N1_S0_1,4,December'15,5,B,N1,S0,B_N1_S0,0.173333333,0.053333333,0.526666667
4.B_N1_S0_2,4,December'15,24,B,N1,S0,B_N1_S0,0.103333333,0.06,0.273333333
4.B_N1_S0_3,4,December'15,44,B,N1,S0,B_N1_S0,0.163333333,0,0.21
4.B_N1_S0_4,4,December'15,67,B,N1,S0,B_N1_S0,0.096666667,0.143333333,0.24
4.B_N1_S0_5,4,December'15,J,B,N1,S0,B_N1_S0,0.163333333,0,0.23
4.B_N1_S1_1,4,December'15,11,B,N1,S1,B_N1_S1,0.22,0.016666667,0.39
4.B_N1_S1_2,4,December'15,25,B,N1,S1,B_N1_S1,0.093333333,0.013333333,0.213333333
4.B_N1_S1_3,4,December'15,45,B,N1,S1,B_N1_S1,0.16,0,0.196666667
4.B_N1_S1_4,4,December'15,C,B,N1,S1,B_N1_S1,0.096666667,0,0.063333333
4.B_N1_S1_5,4,December'15,M,B,N1,S1,B_N1_S1,0.076666667,0,0.09
4.C_N0_S0_1,4,December'15,2,C,N0,S0,C_N0_S0,0.136666667,0.28,0.39
4.C_N0_S0_2,4,December'15,3,C,N0,S0,C_N0_S0,0.223333333,0,0.173333333
4.C_N0_S0_3,4,December'15,15,C,N0,S0,C_N0_S0,0.013333333,0.04,0.006666667
4.C_N0_S0_4,4,December'15,33,C,N0,S0,C_N0_S0,0.266666667,0,0.35
4.C_N0_S0_5,4,December'15,59,C,N0,S0,C_N0_S0,0.04,0.263333333,0.07
4.C_N0_S1_1,4,December'15,37,C,N0,S1,C_N0_S1,0.07,1.23,0.223333333
4.C_N0_S1_2,4,December'15,46,C,N0,S1,C_N0_S1,0.166666667,0.56,0.5
4.C_N0_S1_3,4,December'15,60,C,N0,S1,C_N0_S1,0.136666667,0.016666667,0.35
4.C_N0_S1_4,4,December'15,A,C,N0,S1,C_N0_S1,0.176666667,0.326666667,0.53
4.C_N0_S1_5,4,December'15,D,C,N0,S1,C_N0_S1,0.12,0.55,0.193333333
4.C_N1_S0_1,4,December'15,8,C,N1,S0,C_N1_S0,0.09,0.013333333,0.13
4.C_N1_S0_2,4,December'15,27,C,N1,S0,C_N1_S0,0.03,0.003333333,0.03
4.C_N1_S0_3,4,December'15,42,C,N1,S0,C_N1_S0,0.056666667,0.363333333,0.116666667
4.C_N1_S0_4,4,December'15,63,C,N1,S0,C_N1_S0,0.176666667,0,0.156666667
4.C_N1_S0_5,4,December'15,G,C,N1,S0,C_N1_S0,0.09,1.553333333,0.27
4.C_N1_S1_1,4,December'15,10,C,N1,S1,C_N1_S1,0.11,0.026666667,0.16
4.C_N1_S1_2,4,December'15,26,C,N1,S1,C_N1_S1,0.06,0.04,0.116666667
4.C_N1_S1_3,4,December'15,28,C,N1,S1,C_N1_S1,0.106666667,0.49,0.373333333
4.C_N1_S1_4,4,December'15,70,C,N1,S1,C_N1_S1,0.036666667,0.166666667,0.083333333
4.C_N1_S1_5,4,December'15,L,C,N1,S1,C_N1_S1,0.043333333,0.013333333,0.08
4.D_N0_S0_1,4,December'15,21,D,N0,S0,D_N0_S0,0.056666667,0,0.096666667
4.D_N0_S0_2,4,December'15,41,D,N0,S0,D_N0_S0,0.463333333,0,0.376666667
4.D_N0_S0_3,4,December'15,52,D,N0,S0,D_N0_S0,0.146666667,0.716666667,0.54
4.D_N0_S0_4,4,December'15,58,D,N0,S0,D_N0_S0,0.156666667,0,0.163333333
4.D_N0_S0_5,4,December'15,68,D,N0,S0,D_N0_S0,0.276666667,0,0.276666667
4.D_N0_S1_1,4,December'15,35,D,N0,S1,D_N0_S1,0.25,0.23,0.49
4.D_N0_S1_2,4,December'15,38,D,N0,S1,D_N0_S1,0,3.776666667,0.18
4.D_N0_S1_3,4,December'15,54,D,N0,S1,D_N0_S1,0.053333333,0.143333333,0.11
4.D_N0_S1_4,4,December'15,62,D,N0,S1,D_N0_S1,0.23,0.176666667,0.416666667
4.D_N0_S1_5,4,December'15,72,D,N0,S1,D_N0_S1,0.67,0,0.983333333
4.D_N1_S0_1,4,December'15,48,D,N1,S0,D_N1_S0,0.153333333,0,0.153333333
4.D_N1_S0_2,4,December'15,56,D,N1,S0,D_N1_S0,0.22,1.533333333,0.76
4.D_N1_S0_3,4,December'15,64,D,N1,S0,D_N1_S0,0.176666667,0,0.253333333
4.D_N1_S0_4,4,December'15,86,D,N1,S0,D_N1_S0,0.213333333,0,0.196666667
4.D_N1_S0_5,4,December'15,24*,D,N1,S0,D_N1_S0,0.126666667,0,0.22
4.D_N1_S1_1,4,December'15,9,D,N1,S1,D_N1_S1,0.06,0.396666667,0.143333333
4.D_N1_S1_2,4,December'15,29,D,N1,S1,D_N1_S1,0.18,0.026666667,0.46
4.D_N1_S1_3,4,December'15,57,D,N1,S1,D_N1_S1,0.296666667,0.063333333,0.613333333
4.D_N1_S1_4,4,December'15,66,D,N1,S1,D_N1_S1,0.366666667,0,0.74
4.D_N1_S1_5,4,December'15,99,D,N1,S1,D_N1_S1,0.4,0,0.443333333
5.A_N0_S0_1,5,January'16,6,A,N0,S0,A_N0_S0,0.293333333,0.196666667,0.826666667
5.A_N0_S0_2,5,January'16,7,A,N0,S0,A_N0_S0,0.08,2.09,0.26
5.A_N0_S0_3,5,January'16,32,A,N0,S0,A_N0_S0,0.063333333,0.643333333,0.183333333
5.A_N0_S0_4,5,January'16,50,A,N0,S0,A_N0_S0,0.17,1.346666667,0.446666667
5.A_N0_S0_5,5,January'16,53,A,N0,S0,A_N0_S0,0.486666667,0.296666667,1.06
5.A_N0_S1_1,5,January'16,16,A,N0,S1,A_N0_S1,0.07,0.126666667,0.16
5.A_N0_S1_2,5,January'16,19,A,N0,S1,A_N0_S1,0.13,0.273333333,0.333333333
5.A_N0_S1_3,5,January'16,20,A,N0,S1,A_N0_S1,0.113333333,0.053333333,0.226666667
5.A_N0_S1_4,5,January'16,36,A,N0,S1,A_N0_S1,0.526666667,1.48,2.256666667
5.A_N0_S1_5,5,January'16,40,A,N0,S1,A_N0_S1,0.293333333,1.053333333,0.74
5.A_N1_S0_1,5,January'16,14,A,N1,S0,A_N1_S0,0.1,3.09,0.37
5.A_N1_S0_2,5,January'16,23,A,N1,S0,A_N1_S0,0.123333333,3.61,0.566666667
5.A_N1_S0_3,5,January'16,69,A,N1,S0,A_N1_S0,0.263333333,1.52,2.77
5.A_N1_S0_4,5,January'16,I,A,N1,S0,A_N1_S0,0.683333333,1.72,5.526666667
5.A_N1_S0_5,5,January'16,K,A,N1,S0,A_N1_S0,0.036666667,0.323333333,0.073333333
5.A_N1_S1_1,5,January'16,30,A,N1,S1,A_N1_S1,0.07,0.643333333,0.18
5.A_N1_S1_2,5,January'16,47,A,N1,S1,A_N1_S1,0.383333333,0.556666667,5.576666667
5.A_N1_S1_3,5,January'16,B,A,N1,S1,A_N1_S1,0.313333333,0,0.54
5.A_N1_S1_4,5,January'16,F,A,N1,S1,A_N1_S1,1.406666667,0,1.756666667
5.A_N1_S1_5,5,January'16,N,A,N1,S1,A_N1_S1,0.22,0.44,0.633333333
5.B_N0_S0_1,5,January'16,1,B,N0,S0,B_N0_S0,0.196666667,0.17,0.446666667
5.B_N0_S0_2,5,January'16,4,B,N0,S0,B_N0_S0,0.1,0,0.216666667
5.B_N0_S0_3,5,January'16,31,B,N0,S0,B_N0_S0,0.036666667,0.113333333,0.04
5.B_N0_S0_4,5,January'16,34,B,N0,S0,B_N0_S0,0.05,0.313333333,0.083333333
5.B_N0_S0_5,5,January'16,E,B,N0,S0,B_N0_S0,0.176666667,0.486666667,0.316666667
5.B_N0_S1_1,5,January'16,17,B,N0,S1,B_N0_S1,0.203333333,0.086666667,0.463333333
5.B_N0_S1_2,5,January'16,18,B,N0,S1,B_N0_S1,0.213333333,0,0.253333333
5.B_N0_S1_3,5,January'16,49,B,N0,S1,B_N0_S1,0.096666667,0.5,0.236666667
5.B_N0_S1_4,5,January'16,65,B,N0,S1,B_N0_S1,0.09,0.023333333,0.193333333
5.B_N0_S1_5,5,January'16,H,B,N0,S1,B_N0_S1,0.193333333,0.743333333,0.526666667
5.B_N1_S0_1,5,January'16,5,B,N1,S0,B_N1_S0,0.19,0.073333333,0.516666667
5.B_N1_S0_2,5,January'16,24,B,N1,S0,B_N1_S0,0.053333333,0.256666667,0.136666667
5.B_N1_S0_3,5,January'16,44,B,N1,S0,B_N1_S0,0.106666667,0,0.146666667
5.B_N1_S0_4,5,January'16,67,B,N1,S0,B_N1_S0,0.073333333,0.19,0.173333333
5.B_N1_S0_5,5,January'16,J,B,N1,S0,B_N1_S0,0.143333333,0,0.25
5.B_N1_S1_1,5,January'16,11,B,N1,S1,B_N1_S1,0.216666667,0,0.44
5.B_N1_S1_2,5,January'16,25,B,N1,S1,B_N1_S1,0.063333333,0.063333333,0.15
5.B_N1_S1_3,5,January'16,45,B,N1,S1,B_N1_S1,0.14,0.233333333,0.14
5.B_N1_S1_4,5,January'16,C,B,N1,S1,B_N1_S1,0.333333333,0,0.206666667
5.B_N1_S1_5,5,January'16,M,B,N1,S1,B_N1_S1,0.053333333,0.003333333,0.066666667
5.C_N0_S0_1,5,January'16,2,C,N0,S0,C_N0_S0,0.153333333,0.376666667,0.326666667
5.C_N0_S0_2,5,January'16,3,C,N0,S0,C_N0_S0,0.3,0,0.223333333
5.C_N0_S0_3,5,January'16,15,C,N0,S0,C_N0_S0,0.016666667,0.026666667,0
5.C_N0_S0_4,5,January'16,33,C,N0,S0,C_N0_S0,0.2,0,0.343333333
5.C_N0_S0_5,5,January'16,59,C,N0,S0,C_N0_S0,0.046666667,0.063333333,0.136666667
5.C_N0_S1_1,5,January'16,37,C,N0,S1,C_N0_S1,0.42,1.303333333,1.62
5.C_N0_S1_2,5,January'16,46,C,N0,S1,C_N0_S1,0.146666667,0.213333333,0.293333333
5.C_N0_S1_3,5,January'16,60,C,N0,S1,C_N0_S1,0.173333333,0.123333333,0.4
5.C_N0_S1_4,5,January'16,A,C,N0,S1,C_N0_S1,0.15,1.24,0.336666667
5.C_N0_S1_5,5,January'16,D,C,N0,S1,C_N0_S1,0.086666667,0.273333333,0.12
5.C_N1_S0_1,5,January'16,8,C,N1,S0,C_N1_S0,0.013333333,0.043333333,0.013333333
5.C_N1_S0_2,5,January'16,27,C,N1,S0,C_N1_S0,0.053333333,0.006666667,0.093333333
5.C_N1_S0_3,5,January'16,42,C,N1,S0,C_N1_S0,0.07,0.98,0.166666667
5.C_N1_S0_4,5,January'16,63,C,N1,S0,C_N1_S0,0.1,0,0.113333333
5.C_N1_S0_5,5,January'16,G,C,N1,S0,C_N1_S0,0.03,1.89,0.1
5.C_N1_S1_1,5,January'16,10,C,N1,S1,C_N1_S1,0.103333333,0,0.186666667
5.C_N1_S1_2,5,January'16,26,C,N1,S1,C_N1_S1,0.026666667,0.1,0.06
5.C_N1_S1_3,5,January'16,28,C,N1,S1,C_N1_S1,0.096666667,0.47,0.27
5.C_N1_S1_4,5,January'16,70,C,N1,S1,C_N1_S1,0.033333333,0.093333333,0.07
5.C_N1_S1_5,5,January'16,L,C,N1,S1,C_N1_S1,0.033333333,0.116666667,0.043333333
5.D_N0_S0_1,5,January'16,21,D,N0,S0,D_N0_S0,0.076666667,0,0.106666667
5.D_N0_S0_2,5,January'16,41,D,N0,S0,D_N0_S0,0.153333333,0.023333333,0.266666667
5.D_N0_S0_3,5,January'16,52,D,N0,S0,D_N0_S0,0.23,0.476666667,0.57
5.D_N0_S0_4,5,January'16,58,D,N0,S0,D_N0_S0,0.106666667,0,0.13
5.D_N0_S0_5,5,January'16,68,D,N0,S0,D_N0_S0,0.113333333,1.176666667,0.303333333
5.D_N0_S1_1,5,January'16,35,D,N0,S1,D_N0_S1,0.14,0.166666667,0.196666667
5.D_N0_S1_2,5,January'16,38,D,N0,S1,D_N0_S1,0.086666667,3.2,0.286666667
5.D_N0_S1_3,5,January'16,54,D,N0,S1,D_N0_S1,0.023333333,0.12,0.013333333
5.D_N0_S1_4,5,January'16,62,D,N0,S1,D_N0_S1,0.053333333,2.463333333,0.263333333
5.D_N0_S1_5,5,January'16,72,D,N0,S1,D_N0_S1,0.273333333,0.006666667,0.633333333
5.D_N1_S0_1,5,January'16,48,D,N1,S0,D_N1_S0,0.113333333,0,0.106666667
5.D_N1_S0_2,5,January'16,56,D,N1,S0,D_N1_S0,0.136666667,1.933333333,0.453333333
5.D_N1_S0_3,5,January'16,64,D,N1,S0,D_N1_S0,0.153333333,0,0.163333333
5.D_N1_S0_4,5,January'16,86,D,N1,S0,D_N1_S0,0.22,0,0.296666667
5.D_N1_S0_5,5,January'16,24*,D,N1,S0,D_N1_S0,0.81,0,0.66
5.D_N1_S1_1,5,January'16,9,D,N1,S1,D_N1_S1,0.06,0.183333333,0.086666667
5.D_N1_S1_2,5,January'16,29,D,N1,S1,D_N1_S1,0.126666667,0.09,0.286666667
5.D_N1_S1_3,5,January'16,57,D,N1,S1,D_N1_S1,0.163333333,0.32,0.363333333
5.D_N1_S1_4,5,January'16,66,D,N1,S1,D_N1_S1,0.203333333,0.576666667,0.67
5.D_N1_S1_5,5,January'16,99,D,N1,S1,D_N1_S1,0.21,0,0.38
6.A_N0_S0_1,6,February'16 ,6,A,N0,S0,A_N0_S0,0.18,0,0.47
6.A_N0_S0_2,6,February'16 ,7,A,N0,S0,A_N0_S0,0.083333333,0.486666667,0.153333333
6.A_N0_S0_3,6,February'16 ,32,A,N0,S0,A_N0_S0,1.306666667,0,3.423333333
6.A_N0_S0_4,6,February'16 ,50,A,N0,S0,A_N0_S0,0.083333333,1.416666667,1.29
6.A_N0_S0_5,6,February'16 ,53,A,N0,S0,A_N0_S0,1.936666667,0,2.916666667
6.A_N0_S1_1,6,February'16 ,16,A,N0,S1,A_N0_S1,0.06,0.12,0.093333333
6.A_N0_S1_2,6,February'16 ,19,A,N0,S1,A_N0_S1,0.12,0.16,0.313333333
6.A_N0_S1_3,6,February'16 ,20,A,N0,S1,A_N0_S1,0.076666667,0,0.156666667
6.A_N0_S1_4,6,February'16 ,36,A,N0,S1,A_N0_S1,0.8,0,1.963333333
6.A_N0_S1_5,6,February'16 ,40,A,N0,S1,A_N0_S1,0.386666667,0,0.48
6.A_N1_S0_1,6,February'16 ,14,A,N1,S0,A_N1_S0,0.233333333,0.786666667,0.516666667
6.A_N1_S0_2,6,February'16 ,23,A,N1,S0,A_N1_S0,0.133333333,3.81,0.503333333
6.A_N1_S0_3,6,February'16 ,69,A,N1,S0,A_N1_S0,0.57,0,1.843333333
6.A_N1_S0_4,6,February'16 ,I,A,N1,S0,A_N1_S0,0.7,1.146666667,2.186666667
6.A_N1_S0_5,6,February'16 ,K,A,N1,S0,A_N1_S0,0.023333333,0.103333333,0.02
6.A_N1_S1_1,6,February'16 ,30,A,N1,S1,A_N1_S1,0.186666667,0.09,0.356666667
6.A_N1_S1_2,6,February'16 ,47,A,N1,S1,A_N1_S1,0.796666667,1.08,1.373333333
6.A_N1_S1_3,6,February'16 ,B,A,N1,S1,A_N1_S1,0.286666667,0.083333333,0.56
6.A_N1_S1_4,6,February'16 ,F,A,N1,S1,A_N1_S1,1.67,1.02,2.126666667
6.A_N1_S1_5,6,February'16 ,N,A,N1,S1,A_N1_S1,0.173333333,0.26,0.37
6.B_N0_S0_1,6,February'16 ,1,B,N0,S0,B_N0_S0,0.083333333,0.163333333,0.113333333
6.B_N0_S0_2,6,February'16 ,4,B,N0,S0,B_N0_S0,0.076666667,0.003333333,0.15
6.B_N0_S0_3,6,February'16 ,31,B,N0,S0,B_N0_S0,0,0,0.116666667
6.B_N0_S0_4,6,February'16 ,34,B,N0,S0,B_N0_S0,0.026666667,0.066666667,0.04
6.B_N0_S0_5,6,February'16 ,E,B,N0,S0,B_N0_S0,0.103333333,0.803333333,0.19
6.B_N0_S1_1,6,February'16 ,17,B,N0,S1,B_N0_S1,0.186666667,0.033333333,0.3
6.B_N0_S1_2,6,February'16 ,18,B,N0,S1,B_N0_S1,0.113333333,0,0.09
6.B_N0_S1_3,6,February'16 ,49,B,N0,S1,B_N0_S1,0.07,0.266666667,1.293333333
6.B_N0_S1_4,6,February'16 ,65,B,N0,S1,B_N0_S1,0.043333333,0.1,0.073333333
6.B_N0_S1_5,6,February'16 ,H,B,N0,S1,B_N0_S1,0.24,0.733333333,0.526666667
6.B_N1_S0_1,6,February'16 ,5,B,N1,S0,B_N1_S0,0.15,0,0.236666667
6.B_N1_S0_2,6,February'16 ,24,B,N1,S0,B_N1_S0,0.056666667,0.066666667,0.1
6.B_N1_S0_3,6,February'16 ,44,B,N1,S0,B_N1_S0,0.08,0.033333333,0.14
6.B_N1_S0_4,6,February'16 ,67,B,N1,S0,B_N1_S0,0.026666667,0.123333333,0.02
6.B_N1_S0_5,6,February'16 ,J,B,N1,S0,B_N1_S0,0.086666667,0,0.123333333
6.B_N1_S1_1,6,February'16 ,11,B,N1,S1,B_N1_S1,0.176666667,0,0.443333333
6.B_N1_S1_2,6,February'16 ,25,B,N1,S1,B_N1_S1,0.033333333,0.123333333,0.04
6.B_N1_S1_3,6,February'16 ,45,B,N1,S1,B_N1_S1,0.153333333,0,0.183333333
6.B_N1_S1_4,6,February'16 ,C,B,N1,S1,B_N1_S1,0.08,0,0.08
6.B_N1_S1_5,6,February'16 ,M,B,N1,S1,B_N1_S1,0.046666667,0.046666667,0.006666667
6.C_N0_S0_1,6,February'16 ,2,C,N0,S0,C_N0_S0,0.07,0.216666667,0.073333333
6.C_N0_S0_2,6,February'16 ,3,C,N0,S0,C_N0_S0,0.233333333,0,0.176666667
6.C_N0_S0_3,6,February'16 ,15,C,N0,S0,C_N0_S0,0.003333333,0.03,1.1
6.C_N0_S0_4,6,February'16 ,33,C,N0,S0,C_N0_S0,0.163333333,0,0.153333333
6.C_N0_S0_5,6,February'16 ,59,C,N0,S0,C_N0_S0,0.013333333,0.1,0.02
6.C_N0_S1_1,6,February'16 ,37,C,N0,S1,C_N0_S1,0.053333333,0.603333333,0.066666667
6.C_N0_S1_2,6,February'16 ,46,C,N0,S1,C_N0_S1,0.063333333,0.83,0.16
6.C_N0_S1_3,6,February'16 ,60,C,N0,S1,C_N0_S1,0.053333333,0.25,0.106666667
6.C_N0_S1_4,6,February'16 ,A,C,N0,S1,C_N0_S1,0.106666667,1.316666667,0.286666667
6.C_N0_S1_5,6,February'16 ,D,C,N0,S1,C_N0_S1,0.046666667,0.376666667,0.053333333
6.C_N1_S0_1,6,February'16 ,8,C,N1,S0,C_N1_S0,0.016666667,0.043333333,0.003333333
6.C_N1_S0_2,6,February'16 ,27,C,N1,S0,C_N1_S0,0.05,0.05,0.003333333
6.C_N1_S0_3,6,February'16 ,42,C,N1,S0,C_N1_S0,0.03,0.42,0.06
6.C_N1_S0_4,6,February'16 ,63,C,N1,S0,C_N1_S0,0.08,0,0.06
6.C_N1_S0_5,6,February'16 ,G,C,N1,S0,C_N1_S0,0.066666667,0.44,0.053333333
6.C_N1_S1_1,6,February'16 ,10,C,N1,S1,C_N1_S1,0.043333333,0,0.016666667
6.C_N1_S1_2,6,February'16 ,26,C,N1,S1,C_N1_S1,0.033333333,0.053333333,0.073333333
6.C_N1_S1_3,6,February'16 ,28,C,N1,S1,C_N1_S1,0.046666667,0.153333333,0.073333333
6.C_N1_S1_4,6,February'16 ,70,C,N1,S1,C_N1_S1,0.03,0.053333333,0.016666667
6.C_N1_S1_5,6,February'16 ,L,C,N1,S1,C_N1_S1,0.046666667,0,0.043333333
6.D_N0_S0_1,6,February'16 ,21,D,N0,S0,D_N0_S0,0.03,0.056666667,0.043333333
6.D_N0_S0_2,6,February'16 ,41,D,N0,S0,D_N0_S0,0.106666667,0,0.083333333
6.D_N0_S0_3,6,February'16 ,52,D,N0,S0,D_N0_S0,0.053333333,0.68,0.583333333
6.D_N0_S0_4,6,February'16 ,58,D,N0,S0,D_N0_S0,0.053333333,0.016666667,0.04
6.D_N0_S0_5,6,February'16 ,68,D,N0,S0,D_N0_S0,0.103333333,0.65,0.206666667
6.D_N0_S1_1,6,February'16 ,35,D,N0,S1,D_N0_S1,0.163333333,0.056666667,0.223333333
6.D_N0_S1_2,6,February'16 ,38,D,N0,S1,D_N0_S1,0.103333333,2.283333333,0.183333333
6.D_N0_S1_3,6,February'16 ,54,D,N0,S1,D_N0_S1,0.013333333,0.08,0
